,states,mr
0,DE-BB,3.9175532559435813
1,DE-BE,2.1642671530839
2,DE-BW,2.4971224222614685
3,DE-BY,2.7553803410452264
4,DE-HB,2.00378265092266
5,DE-HE,2.9997705627071647
6,DE-HH,2.3652442448062887
7,DE-MV,2.9712598141612045
8,DE-NI,2.5788059505865393
9,DE-NW,2.4143266973832915
10,DE-RP,2.972340969710256
11,DE-SH,3.0083565459610027
12,DE-SL,3.001765744555621
13,DE-SN,3.9353868839587505
14,DE-ST,3.9025186152066214
15,DE-TH,3.686056438773391
16,sum_deaths,
